"Art1","Art2","Art3","AstroAQP1","AstroPLCG1","AstroSERPINI2","B.cell","Bcell_plasma","capEndo","CD4","CD8","CD8_6_1_3","DC","FBMC","fibroblast","gbmEndo_9_1","gbmEndo_9_1a","gbmEndo_9_3","gbmEndo_9_4","gbmEndoPeri_1","gbmEndoPeri_2","gbmFib_4","gbmFib_5","gbmFib_6","gbmPeri","granulocyte","mac_5_1_2","mac_5_1_3","mac_prolif","mg_1_1","mg_1_3","mg_prolif","migDC","monocyte","Neurons_Ex","Neurons_In","NKT","nonclassic_mo","Oligo_2_1","Oligo_2_2","Oligo_2_3_1","Oligo_2_3_2","OPC","pericyte","RBC","SMC","T_prolif","TC_AC","TC_mesh","TC_mesnh","TC_MTC","TC_NPC","TC_oligo","TC_OPC","TC_prolif","Treg","Venous","Venule"
,,,,,,,,,,,,,,,,,,,"IL17RD","ILK","TMEM205",,,,,,,,,,,"TNFRSF9",,"GAS7","VSTM2A",,,,,,,"ARID2",,,,,,,,,,,,,,,""
,,,,,,,,,,,,,,,,,,,"","REEP5","OLFML1",,,,,,,,,,,"NCCRP1",,"HOMER1","ANKRD6",,,,,,,"NME9",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"YY1","FGFR1",,,,,,,,,,,"TRABD2A",,"ITGA8","MAST2",,,,,,,"",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"CCPG1","OBSL1",,,,,,,,,,,"CCM2",,"CABP1","ARHGDIG",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"PSMD7","EHD1",,,,,,,,,,,"GTF2E2",,"FAM81A","SEMA6D",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"WFS1","GSTM3",,,,,,,,,,,"LMBR1L",,"GAP43","PTPRJ",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"SLAIN2","CPAMD8",,,,,,,,,,,"IL15",,"HSPA12A","ABAT",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"ARID3A","SULT1A1",,,,,,,,,,,"WDFY4",,"PEX5L","YJEFN3",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"SUSD2","CYB5A",,,,,,,,,,,"IAH1",,"SLIT1","KCNA6",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"TES","IL11RA",,,,,,,,,,,"ATP6V0A2",,"KCNK1","CBLB",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"C2CD4B","SLC35G1",,,,,,,,,,,"ATP11C",,"PBX1","DLX5",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"FYTTD1","EYS",,,,,,,,,,,"SCO2",,"ADAM22","PCDH19",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"DAPK3","ERBB2",,,,,,,,,,,"PSEN2",,"AMPH","TXNDC16",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"SIPA1","RHBDD2",,,,,,,,,,,"MED28",,"DGKB","IRS1",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"USP22","SEZ6L2",,,,,,,,,,,"COMTD1",,"HS3ST4","FAM133A",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"LRRC32","PRRX2",,,,,,,,,,,"FUOM",,"SLC4A8","P3H2",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"TSPAN12","SIX2",,,,,,,,,,,"TRAPPC6A",,"TMEM59L","STAT5B",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"CRK","WBP1L",,,,,,,,,,,"VAC14",,"FAM135B","NECAB2",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"MYOF","OSR1",,,,,,,,,,,"BATF3",,"PTK2","INPP5F",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"FAM204A","DSG2",,,,,,,,,,,"LYSMD2",,"SLC5A8","ARID1B",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"BPGM","WDR6",,,,,,,,,,,"BCL3",,"SMPD3","GALNT7",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"MAP1S","PTPRU",,,,,,,,,,,"ZFAND6",,"CDK14","ZNF33B",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"KCNS3","CLEC1A",,,,,,,,,,,"EDEM1",,"CORO6","ARHGAP12",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"CDV3","GABARAPL1",,,,,,,,,,,"CCDC115",,"PCSK2","USP13",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"TRPV2","TWIST1",,,,,,,,,,,"CLNS1A",,"ELMOD1","COL25A1",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"CISD1","ANXA4",,,,,,,,,,,"SNX11",,"EPB41L4B","NT5DC3",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"FRMD8","STAT6",,,,,,,,,,,"RNF19B",,"STMN2","IGDCC3",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"C9orf78","ERAP2",,,,,,,,,,,"NMI",,"AFF3","TUBB2A",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"MOCS1","FZD2",,,,,,,,,,,"EGLN2",,"IPCEF1","ZNF334",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"CBL","PLD1",,,,,,,,,,,"PPP1R9B",,"STXBP5","METAP1D",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"DCBLD1","SULT1A2",,,,,,,,,,,"ZNF581",,"SYT13","COCH",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"FHL3","SLC26A7",,,,,,,,,,,"C12orf45",,"ADGRL2","BTBD8",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"TGFB3","ATP13A3",,,,,,,,,,,"EIF3D",,"DNM1","DACH2",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"CSAG1","ING2",,,,,,,,,,,"FBXL15",,"EPB41","LRRC2",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"KLHL18","ADI1",,,,,,,,,,,"HPS5",,"RAP1GAP2","MB21D2",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"FOXF2","QPRT",,,,,,,,,,,"",,"ATP8A1","CHRM5",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"RALBP1","PCNX4",,,,,,,,,,,,,"MARCH4","FREM1",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"PRKD2","FGF7",,,,,,,,,,,,,"CACNG3","SLC4A3",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"PKIG","TMEM64",,,,,,,,,,,,,"CDH22","CELF6",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"SLC39A7","ALX4",,,,,,,,,,,,,"PGM2L1","LRRTM1",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"CCR10","C19orf33",,,,,,,,,,,,,"SLC26A3","TEX9",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"DDX3X","PKDCC",,,,,,,,,,,,,"CDKL5","GREB1",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"ITGA11","RAB34",,,,,,,,,,,,,"DLG1","LDLRAD4",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"AMOTL1","VAT1L",,,,,,,,,,,,,"GLS2","CTPS2",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"DVL3","CFI",,,,,,,,,,,,,"CLSTN3","GTF2IRD1",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"MMP11","H2AFY2",,,,,,,,,,,,,"DGKZ","HTR5A",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"ELK1","MARCH5",,,,,,,,,,,,,"GALNT9","L3MBTL1",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"F2RL3","ST5",,,,,,,,,,,,,"KLHL4","CACNA2D2",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"EGLN1","PER1",,,,,,,,,,,,,"NELL1","LRCH2",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"WDR26","LTBP3",,,,,,,,,,,,,"ITGA9","KLHL42",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"G3BP2","PLXNB2",,,,,,,,,,,,,"OSBPL6","PPM1K",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"MAFG","FUCA2",,,,,,,,,,,,,"TSPAN5","SIAH3",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"ARHGEF40","IMPAD1",,,,,,,,,,,,,"WIPF3","GLRA1",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"WDR82","PCSK7",,,,,,,,,,,,,"APBA2","NUBPL",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"SLC16A6","CDO1",,,,,,,,,,,,,"ARHGAP32","URI1",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"AK3","CCS",,,,,,,,,,,,,"GREM2","SLC1A6",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"GCLM","WFDC2",,,,,,,,,,,,,"ILDR2","BCL9",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"MMP25","EPHX2",,,,,,,,,,,,,"WDR17","MFSD9",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"ZMPSTE24","HSPB2",,,,,,,,,,,,,"FAM171A1","SEMA4G",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"ORAI2","TNFRSF11B",,,,,,,,,,,,,"MAPT","ZNF292",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"KCTD20","C5orf15",,,,,,,,,,,,,"PDE4D","ATAD2B",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"PSMD4","PGR",,,,,,,,,,,,,"CPT1C","KCTD13",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"DUSP14","CALCOCO1",,,,,,,,,,,,,"FGF9","TMEM182",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"EI24","CPLANE1",,,,,,,,,,,,,"GNAO1","PRIMPOL",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"SPEN","VLDLR",,,,,,,,,,,,,"STXBP1","TMEM132E",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"MFSD12","IGSF10",,,,,,,,,,,,,"MARK1","FNDC3A",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"RSRC2","PRDX2",,,,,,,,,,,,,"STX1A","KIDINS220",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"TSPAN31","DNAJB4",,,,,,,,,,,,,"ANO5","",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"SSB","AOX1",,,,,,,,,,,,,"MMP17",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"SDF4","COL23A1",,,,,,,,,,,,,"EPHA7",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"ZNF580","GSTM5",,,,,,,,,,,,,"EXOC4",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"FOXF1","RAB3IL1",,,,,,,,,,,,,"PPM1L",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"MAN1B1","HEBP1",,,,,,,,,,,,,"SLC12A5",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"SEC63","SHF",,,,,,,,,,,,,"CHD5",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"GOLGA3","TSPYL1",,,,,,,,,,,,,"SLC8A2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"SMARCA5","GMPR",,,,,,,,,,,,,"CACNA1A",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"SOGA1","NDN",,,,,,,,,,,,,"FAM169A",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"PSMD12","CITED2",,,,,,,,,,,,,"KLHL2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"RBBP6","CA14",,,,,,,,,,,,,"RGS7BP",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"MEX3D","IL34",,,,,,,,,,,,,"ADCY1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"MRPL36","TMEM100",,,,,,,,,,,,,"FRAS1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"INKA1","DCUN1D3",,,,,,,,,,,,,"PKP4",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"MAP3K7CL","STEAP4",,,,,,,,,,,,,"SORCS2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"NDUFV3","TSPYL2",,,,,,,,,,,,,"ANKRD18A",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"NSRP1","THNSL2",,,,,,,,,,,,,"LIN28B",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"NDUFS2","B4GALT4",,,,,,,,,,,,,"ST8SIA5",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"MEF2D","SNRNP70",,,,,,,,,,,,,"EPB41L3",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"PRPF38B","BDH2",,,,,,,,,,,,,"PPM1H",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"AKTIP","PLEKHH3",,,,,,,,,,,,,"TIAM2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"AVPR1A","EXTL2",,,,,,,,,,,,,"XKR6",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"C5orf24","FKBP2",,,,,,,,,,,,,"BAIAP2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"RDH11","SLC40A1",,,,,,,,,,,,,"DGKI",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"EEA1","TRIM22",,,,,,,,,,,,,"TBC1D30",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"KDM5A","FLNC",,,,,,,,,,,,,"WNK2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"PTPA","NME3",,,,,,,,,,,,,"SLC41A2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"ABCB4","NBN",,,,,,,,,,,,,"KIAA1211L",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"LASP1","ELMSAN1",,,,,,,,,,,,,"PRR16",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"SINHCAF","GPR88",,,,,,,,,,,,,"SPATA7",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"DDA1","PLCD4",,,,,,,,,,,,,"NAALAD2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"PITPNA","PLEKHA4",,,,,,,,,,,,,"SLC6A15",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"PLEKHG2","OAT",,,,,,,,,,,,,"WASF1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"ALDH9A1","CLN5",,,,,,,,,,,,,"CAMK2B",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"SELENON","GDF10",,,,,,,,,,,,,"RASGRP1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"DOK4","TDRD15",,,,,,,,,,,,,"DMTN",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"KLF3","FAM199X",,,,,,,,,,,,,"NCR3LG1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"COPB1","CEP120",,,,,,,,,,,,,"KCND3",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"ELOA","DISP2",,,,,,,,,,,,,"MIPOL1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"PURB","IRF2BPL",,,,,,,,,,,,,"STAC2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"ARMCX3","PATJ",,,,,,,,,,,,,"CAP2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"ARF3","PTGFRN",,,,,,,,,,,,,"CPLX2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"RIT1","ARL5B",,,,,,,,,,,,,"GLB1L3",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"NUFIP2","FOXP4",,,,,,,,,,,,,"LONRF2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"HIPK1","ATN1",,,,,,,,,,,,,"SUSD4",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"WASHC4","COQ4",,,,,,,,,,,,,"KIAA0513",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"BAG3","PMM1",,,,,,,,,,,,,"RIMKLA",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"CYTH2","DNPH1",,,,,,,,,,,,,"SIRPA",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"GSS","TRIP6",,,,,,,,,,,,,"SSBP3",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"TMF1","SCUBE3",,,,,,,,,,,,,"FAM49A",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"ATP6AP2","ZC2HC1C",,,,,,,,,,,,,"SLC16A7",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"N4BP3","GTF2H5",,,,,,,,,,,,,"CAMK2A",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"CTNNBIP1","CCNG1",,,,,,,,,,,,,"KLHL3",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"ATP6V1D","SULT1E1",,,,,,,,,,,,,"TULP4",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"DFFA","CSAD",,,,,,,,,,,,,"VWA5B2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"C16orf72","SNX2",,,,,,,,,,,,,"CDH8",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"ARHGAP1","LPCAT3",,,,,,,,,,,,,"NEK10",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"STAU1","NPW",,,,,,,,,,,,,"BTBD9",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"GMFB","INMT",,,,,,,,,,,,,"DRP2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"LTBR","SCUBE1",,,,,,,,,,,,,"SYN1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"DNAJB6","SYDE2",,,,,,,,,,,,,"TSPAN13",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"DCTN2","LYPLAL1",,,,,,,,,,,,,"CELF5",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"MSANTD3","CPA4",,,,,,,,,,,,,"RPS6KA6",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"UBA1","RSPO3",,,,,,,,,,,,,"ZDHHC23",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"NR2F6","C1RL",,,,,,,,,,,,,"STAU2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"IDH3G","CRYGN",,,,,,,,,,,,,"CCDC28A",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"EMC4","GALNT12",,,,,,,,,,,,,"JPH3",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"CDC42EP5","C8orf88",,,,,,,,,,,,,"CKMT1B",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"RAB32","PODN",,,,,,,,,,,,,"FAM189A1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"ANKLE2","PCYOX1",,,,,,,,,,,,,"TTLL11",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"BICD2","ABHD14A",,,,,,,,,,,,,"GAS2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"POLR2G","DNALI1",,,,,,,,,,,,,"SCN3B",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"UBE2R2","TLE2",,,,,,,,,,,,,"SNCB",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"AGPAT1","WNK4",,,,,,,,,,,,,"ST6GALNAC5",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"SRP54","TCEAL1",,,,,,,,,,,,,"GLIS1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"KDSR","SSC4D",,,,,,,,,,,,,"C2CD5",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"MCFD2","PRG4",,,,,,,,,,,,,"FHOD3",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"NIPSNAP2","HYI",,,,,,,,,,,,,"FSD1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"PAFAH1B2","TMEM159",,,,,,,,,,,,,"TLL1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"TRIP11","NAGLU",,,,,,,,,,,,,"CDH9",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"IER5L","TMEM259",,,,,,,,,,,,,"COL24A1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"ZBTB1","EN1",,,,,,,,,,,,,"PLCL2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"BAG6","SH3BGR",,,,,,,,,,,,,"SIPA1L1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"RASD2","CHRNA6",,,,,,,,,,,,,"STRBP",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"XIAP","ZSCAN18",,,,,,,,,,,,,"UNC5C",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"GTF3C4","SNX21",,,,,,,,,,,,,"MCF2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"LINC00672","SMIM1",,,,,,,,,,,,,"TMEM63C",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"NEU1","RHOD",,,,,,,,,,,,,"DZIP1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"ABHD5","PLA2G12A",,,,,,,,,,,,,"GABRA5",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"ACIN1","FGF11",,,,,,,,,,,,,"PAK1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"PLEKHB2","TSPAN11",,,,,,,,,,,,,"TESPA1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"STX2","SLC22A18",,,,,,,,,,,,,"SLC6A7",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"CYB561","TM2D1",,,,,,,,,,,,,"ST8SIA1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"MRPS10","FAM92A",,,,,,,,,,,,,"FMN1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"YTHDC1","CCDC127",,,,,,,,,,,,,"RBM26",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"ZNF281","PPP1R16A",,,,,,,,,,,,,"RTN4RL1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"PDCL","SLC2A4RG",,,,,,,,,,,,,"SAMD3",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"PEAR1","NEB",,,,,,,,,,,,,"SERPINI1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"TUT7","MTRNR2L1",,,,,,,,,,,,,"ADAM11",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"CCDC86","MBOAT7",,,,,,,,,,,,,"AJAP1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"TBC1D16","PILRB",,,,,,,,,,,,,"EPB41L2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"RRP15","NUDT7",,,,,,,,,,,,,"KIAA0825",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"SMIM10L1","CHODL",,,,,,,,,,,,,"SATB1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"YRDC","GDPD5",,,,,,,,,,,,,"MNAT1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"SZRD1","MTFR1L",,,,,,,,,,,,,"OSBP2",,,,,,,,,,,,,,,,,,,,,,,
